epoch,train_loss,train_dice
0,1.0886470794677734,0.17552494406700134
1,1.0583202362060546,0.18353212177753447
2,1.0300272941589355,0.21222835779190063
3,0.9884380578994751,0.2678405404090881
4,0.9736652374267578,0.3125342488288879
5,0.9531802177429199,0.4118179798126221
6,0.9453153491020203,0.4078850567340851
7,0.9322603344917297,0.4564890623092651
8,0.9223475575447082,0.4703601777553558
9,0.9053299784660339,0.5098480403423309
10,0.9004187822341919,0.5341481387615203
11,0.8846205830574035,0.5674947381019593
12,0.8854733467102051,0.557021415233612
13,0.8685039401054382,0.5898332476615906
14,0.8587825179100037,0.5998814344406128
15,0.8516784310340881,0.6197265267372132
16,0.8451250553131103,0.6525407075881958
17,0.8327897906303405,0.6460151910781861
18,0.822715675830841,0.6417763829231262
19,0.8079694271087646,0.6321518659591675
20,0.8079460263252258,0.5985605955123902
21,0.8206794261932373,0.6189020991325378
22,0.8159993410110473,0.6592368364334107
23,0.7993234038352967,0.6519875407218934
24,0.789222514629364,0.6471452236175537
25,0.7724007606506348,0.6583677887916565
26,0.7661275506019593,0.6594796895980835
27,0.7497944712638855,0.6788640737533569
28,0.7395611643791199,0.6830562114715576
29,0.7290097713470459,0.6843218803405762
30,0.7280314564704895,0.6889904022216797
31,0.7125504851341248,0.6882026791572571
32,0.7094200134277344,0.6752390384674072
33,0.6986789703369141,0.6846935153007507
34,0.6943919658660889,0.6976182579994201
35,0.676455807685852,0.6890087127685547
36,0.6705662369728088,0.7097140908241272
37,0.6646634817123414,0.6895042538642884
38,0.6569487810134887,0.6866252422332764
39,0.6400683760643006,0.706607186794281
40,0.6314798355102539,0.7063514351844787
41,0.6168569922447205,0.7181641340255738
42,0.6072006940841674,0.7194085001945496
43,0.5977282047271728,0.7306781649589539
44,0.5867356657981873,0.7266427040100097
45,0.5765559673309326,0.7262318730354309
46,0.5689454078674316,0.7318735003471375
47,0.5652872085571289,0.7274568200111389
48,0.5637649893760681,0.7164645552635193
49,0.5534336924552917,0.7221129655838012
50,0.5503012180328369,0.727423095703125
51,0.5282938599586486,0.738801121711731
52,0.5246772289276123,0.7331653594970703
53,0.5074687242507935,0.7424374341964721
54,0.5066089808940888,0.7341239809989929
55,0.4964056730270386,0.7493769526481628
56,0.4910348653793335,0.7468248248100281
57,0.4829082667827606,0.7283011078834534
58,0.4840769410133362,0.7422730207443238
59,0.46576441526412965,0.7428600192070007
60,0.46520334482192993,0.7406323909759521
61,0.45469465255737307,0.7459774732589721
62,0.45254281163215637,0.7545109510421752
63,0.4442511796951294,0.7453177213668823
64,0.44558358788490293,0.7454243063926697
65,0.4408868670463562,0.7454548716545105
66,0.44650769233703613,0.7394415020942688
67,0.43194133043289185,0.7506050705909729
